kodeBidang;kodeSubbidang;kodeKegiatan;Uraian;Keterangan
1;;;BIDANG PENYELENGGARAAN PEMERINTAHAN DESA;Bidang Penyelenggaraan Pemerintahan Desa berisi sub bidang dan kegiatan yang digunakan untuk mendukung terselenggaranya fungsi pemerintahan Desa yang mencakup:
1;1;;Sub Bidang Penyelenggaraan Belanja Penghasilan Tetap, Tunjangan dan Operasional Pemerintahan Desa; (Maksimal 30  % untuk kegiatan 1-7)
1;1;01;Penyediaan Penghasilan Tetap dan Tunjangan Kepala Desa;
1;1;02;Penyediaan Penghasilan Tetap dan Tunjangan Perangkat Desa;
1;1;03;Penyediaan Jaminan Sosial bagi Kepala Desa dan Perangkat Desa;
1;1;04;Penyediaan Operasional Pemerintah Desa; (ATK, makan-minum, Honorarium PKPKD dan PPKD, perlengkapan perkantoran, pakaian dinas/atribut, listrik/telpon, perjalanan dinas)
1;1;05;Penyediaan Tunjangan BPD;
1;1;06;Penyediaan Operasional BPD; (Rapat-rapat, ATK, makan-minum, Perlengkapan Perkantoran, Pakaian Seragam, Listrik/Telpon, Perjalanan Dinas)
1;1;07;Penyediaan Insentif/Operasional RT/RW;
1;1;90;Penyediaan Tambahan Tunjangan Kepala Desa dari Pendapatan Asli Desa;
1;1;91;Penyediaan Tambahan Tunjangan Perangkat Desa dari Pendapatan Asli Desa;
1;1;92;Penyediaan Tali Asih / Penghargaan Purna Tugas Kepala Desa;
1;1;93;Penyediaan Tali Asih / Penghargaan Purna Tugas Perangkat Desa;
1;1;94;Penyediaan Uang Duka Kepala Desa dan Perangkat Desa;
1;1;95;Penyediaan insentif/honorarium staf, penjaga kantor, operator SID dan juru kunci makam desa.;
1;2;;Sub Bidang Sarana dan Prasarana Pemerintahan Desa;
1;2;01;Penyediaan sarana (aset tetap) perkantoran/pemerintahan;
1;2;02;Pemeliharaan Gedung/Prasarana Kantor Desa;
1;2;03;Pembangunan/Rehabilitasi/Peningkatan Gedung/Prasarana Kantor Desa;**
1;3;;Sub Bidang Administrasi Kependudukan, Pencatatan Sipil, Statistik dan Kearsipan;
1;3;01;Pelayanan administrasi Umum dan kependudukan; (Surat Pengantar/Pelayanan KTP, Akta Kelahiran, Kartu Keluarga, Akta Kematian, SIM, Pindah-Datang, dan Keterangan Domisili)
1;3;02;Penyusunan/Pendataan/Pemutakhiran Profil Desa; (profil kependudukan dan potensi desa)**
1;3;03;Pengelolaan Administrasi dan Kearsipan Pemerintahan Desa;
1;3;04;Penyuluhan dan Penyadaran Masyarakat tentang Kependudukan dan Pencatatan Sipil;
1;3;05;Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;
1;4;;Sub Bidang Tata Praja Pemerintahan, Perencanaan, Keuangan dan Pelaporan;
1;4;01;Penyelenggaraan Musyawarah Perencanaan Desa/Pembahasan APBDes; (Musdes, Musrenbangdes/Pra-Musrenbangdes, yang bersifat reguler)
1;4;02;Penyelenggaraan Musyawarah Desa lainnya; (Musdus, rembug warga, yang bersifat non-reguler sesuai kebutuhan desa)
1;4;03;Penyusunan Dokumen Perencanaan Desa; (RPJMDes/RKPDes dll)
1;4;04;Penyusunan Dokumen Keuangan Desa; (APBDes/ APBDes Perubahan/ LPJ APBDes, dan seluruh dokumen terkait)
1;4;05;Pengelolaan/Administrasi/Inventarisasi/Penilaian Aset Desa
1;4;06;Penyusunan Kebijakan Desa; (Perdes/Perkades - diluar dokumen Rencana Pembangunan/Keuangan)
1;4;07;Penyusunan Laporan Kepala Desa/Penyelenggaraan Pemerintahan Desa; (laporan akhir tahun anggaran, laporan akhir masa jabatan, laporan keterangan akhir tahun anggaran, informasi kepada masyarakat)
1;4;08;Pengembangan Sistem Informasi Desa;
1;4;09;Koordinasi/ Kerjasama Penyelenggaraan Pemerintahan dan Pembangunan Desa; (Antar Desa/Kecamatan/Kabupaten/Provinsi, Pihak Ketiga)**
1;4;10;Dukungan Pelaksanaan dan Sosialisasi Pilkades, Pemilihan Kepala Kewilayahan dan Pemilihan BPD (yang menjadi wewenang Desa);
1;4;11;Penyelenggaraan Lomba antar kewilayahan dan pengiriman kontingen dalam mengikuti Lomba Desa;
1;4;90;Penyusunan dan Penetapan Standar Satuan Harga Desa;
1;4;91;Penyelenggaraan Pengadaan, Pengangkatan dan Pemberhentian Perangkat Desa;
1;4;92;Penyelenggaraan Evaluasi Tingkat Perkembangan Desa;
1;5;;Sub Bidang Pertanahan;
1;5;01;Sertifikasi Tanah Kas Desa;
1;5;02;Administrasi Pertanahan; (Pendaftaran Tanah, dan Pemberian Registrasi Agenda Pertanahan)
1;5;03;Fasilitasi Sertifikasi Tanah untuk Masyarakat Miskin;
1;5;04;Mediasi Konflik Pertanahan;
1;5;05;Penyuluhan Pertanahan;
1;5;06;Administrasi Pajak Bumi dan Bangunan (PBB);
1;5;07;Penentuan/Penegasan/Pembangunan Batas/Patok Tanah Desa; **
1;5;90;Pengadaan/Pelepasan Tanah Kas Desa;**
1;5;91;Kompensasi / Ganti Rugi Lahan terdampak Pembangunan;
2;;;BIDANG PELAKSANAAN PEMBANGUNAN DESA;Bidang Pelaksanaan Pembangunan Desa berisi sub bidang dan kegiatan dalam pembangunan pendidikan, kesehatan, pekerjaan umum, dan lain-lain. juga terkait dengan pembangunan non fisik seperti pengembangan dan pembinaan. bidang ini mencakup:
2;1;;Sub Bidang Pendidikan;
2;1;01;Penyelenggaraan PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa;** (Bantuan Honor Pengajar, Pakaian Seragam, Operasional, dst)
2;1;02;Dukungan Penyelenggaraan PAUD; (APE, Sarana PAUD, dst)
2;1;03;Penyuluhan dan Pelatihan Pendidikan bagi Masyarakat
2;1;04;Pemeliharaan Sarana dan Prasarana Perpustakaan/ Taman Bacaan Desa/Sanggar Belajar Milik Desa; **
2;1;05;Pemeliharaan Sarana dan Prasarana PAUD/TK/TPA/TKA/ TPQ/ Madrasah Non-Formal Milik Desa;**
2;1;06;Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana/Alat Peraga Edukatif (APE) PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa;**
2;1;07;Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Perpustakaan/Taman Bacaan Desa/ Sanggar Belajar Milik Desa;**
2;1;08;Pengelolaan Perpustakaan Milik Desa; (Pengadaan Buku-buku Bacaan, Honor Penjaga untuk Perpustakaan/Taman Bacaan Desa)
2;1;09;Pengembangan dan Pembinaan Sanggar Seni dan Belajar
2;1;10;Dukungan Pendidikan bagi Siswa Miskin/Berprestasi
2;1;90;Pengelolaan dan Pembinaan Anak Sekolah Melalui Pemberian Makanan Tambahan Anak Sekolah (PMTAS)
2;1;91;Dukungan Sarana Prasana Pendidikan PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Bukan Milik Desa; (dalam bentuk barang)
2;2;;Sub Bidang Kesehatan;
2;2;01;Penyelenggaraan Pos Kesehatan Desa (PKD)/Polindes Milik Desa; (Obat- obatan, Tambahan Insentif Bidan Desa/Perawat Desa, Penyediaan Pelayanan KB dan Alat Kontrasepsi bagi Keluarga Miskin, Alat Kesehatan, dst)
2;2;02;Penyelenggaraan Posyandu; (Makanan Tambahan, Kelas Ibu Hamfl, Kelas Lansia, Insentil Kader Posyandu)
2;2;03;Penyuluhan dan Pelatihan Bidang Kesehatan; (untuk Masyarakat, Tenaga Kesehatan, Kader Kesehatan)
2;2;04;Penyelenggaraan Desa Siaga Kesehatan;
2;2;05;Pembinaan Palang Merah Remaja (PMR) tingkat desa;
2;2;06;Pengasuhan Bersama atau Bina Keluarga Balita (BKB);
2;2;07;Pembinaan dan Pengawasan Upaya Kesehatan Tradisional;
2;2;08;Pemeliharaan Sarana/Prasarana Posyandu/Polindes/PKD/Posbindu;**
2;2;09;Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana Posyandu/Polindes/PKD/Posbindu; **
2;2;90;Pemantauan dan Pencegahan Penyalahgunaan Narkoba dan Zat Adiktif Di Desa;
2;2;91;Fasilitasi Pelayanan Pencegahan dan Penanggulangan Penyakit Menular dan Endemik;
2;2;92;Pembangunan dan Pengelolaan Apotek Desa;
2;2;93;Pengelolaan dan Pemanfaatan Tanaman Obat Keluarga;
2;2;94;Fasilitasi Pelayanan Bagi Masyarakat/ Anak Berkebutuhan Khusus;
2;2;95;Fasilitasi Pelayanan Kesehatan Bagi Masyarakat Miskin;
2;2;96;Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;
2;2;97;Penyediaan Fasilitas Kesehatan; (Mobil Siaga/Ambulan Desa)
2;2;98;Pemeliharaan Fasilitas Kesehatan; (Mobil Siaga/Ambulan Desa)
2;3;;Sub Bidang Pekeijaan Umum dan Penataan Ruang;
2;3;01;Pemeliharaan Jalan Desa;
2;3;02;Pemeliharaan Jalan Lingkungan Permukiman/Gang;
2;3;03;Pemeliharaan Jalan Usaha Tani;
2;3;04;Pemeliharaan Jembatan Milik Desa;
2;3;05;Pemeliharaan Prasarana Jalan  Desa; (Gorong-gorong, Selokan, Box/ Slab Culvert, Drainase, Prasarana Jalan lain)
2;3;06;Pemeliharaan Gedung/Prasarana Balai Desa/Balai Kemasyarakatan;
2;3;07;Pemeliharaan Pemakaman Milik Desa/Situs Bersejarah Milik Desa/Petilasan Milik Desa;
2;3;08;Pemeliharaan Embung Milik Desa;
2;3;09;Pemeliharaan Monumen/Gapura/Batas Desa;
2;3;10;Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Desa; **
2;3;11;Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan Permukiman/Gang; **
2;3;12;Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Usaha Tani; **
2;3;13;Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa;**
2;3;14;Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa; (Gorong-gorong, Selokan, Box/Slab Culvert, Drainase, Prasarana Jalan lain) **
2;3;15;Pembangunan/Rehabilitasi/Peningkatan Balai Desa/Balai Kemasyarakatan;**
2;3;16;Pembangunan/Rehabilitasi/Peningkatan Pemakaman Milik Desa/Situs Bersejarah Milik Desa/Petilasan;
2;3;17;Pembuatan/Pemutakhiran Peta Wilayah dan Sosial Desa; **
2;3;18;Penyusunan Dokumen Perencanaan Tata Ruang Desa;
2;3;19;Pembangunan/Rehabilitasi/Peningkatan Embung Desa; **
2;3;20;Pembangunan/Rehabilitasi/Peningkatan Monumen/Gapura/Batas Desa; **
2;3;90;Pemeliharaan Turap/ Bronjong/ Talud/ Tanggul Desa;** (kewenangan desa)
2;3;91;Pemeliharaan Sarana Prasarana Olah Raga/ Gedung Serba Guna;
2;3;92;Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul Desa;** (kewenangan desa)
2;3;93;Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/ Gedung Serba Guna;
2;3;94;Pembangunan/Rehabilitasi/Peningkatan Gedung/Prasarana Balai Desa/Balai Kemasyarakatan;
2;4;;Sub Bidang Kawasan Permukiman;
2;4;01;Dukungan pelaksanaan program Pembangunan/Rehab Rumah Tidak Layak Huni (RTLH) GAKIN; (pemetaan, validasi)
2;4;02;Pemeliharaan Sumur Resapan Milik Desa;
2;4;03;Pemeliharaan Sumber Air Bersih Milik Desa; (Mata Air/Tandon Penampungan Air Hujan/Sumur Bor)
2;4;04;Pemeliharaan Sambungan Air Bersih ke Rumah Tangga; (pipanisasi)
2;4;05;Pemeliharaan Sanitasi Permukiman; (Gorong-gorong, Selokan, Parit, di luar prasarana jalan)
2;4;06;Pemeliharaan Fasilitas Jam ban Umum/MCK umum;
2;4;07;Pemeliharaan Fasilitas Pengelolaan Sampah Desa/Permukiman; (Penampungan, Bank Sampah, Kendaraan Pengangkut Sampah, Gerobak Sampah, Mesin Pengolah Sampah, Tong Sampah)
2;4;08;Pemeliharaan Sistem Pembuangan Air Limbah; (Drainase, Air limbah Rumah Tangga)
2;4;09;Pemeliharaan Taman/Taman Bermain Anak Milik Desa;
2;4;10;Pembangunan/Rehabilitasi/Peningkatan Sumur Resapan; **
2;4;11;Pembangunan/ Rehabilitasi/ Peningkatan Sumber Air Bersih Milik Desa; (Mata Air/Tandon Penampungan Air Hujan/ Sumur Bor/Sumur Gali)**
2;4;12;Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah Tangga; (pipanisasi)
2;4;13;Pembangunan/Rehabiltasi/Peningkatan Sanitasi Permukiman; (Gorong-gorong, Selokan, Pant, di luar prasarana jalan)
2;4;14;Pembangunan/Rehabilitas/Peningkatan Fasilitas Jamban Umum/MCK umum dll; ** 
2;4;15;Pembangunan/ Rehabilitasi/ Peningkatan Fasilitas Pengelolaan Sampah Desa/Permukiman; (Penampungan Bank Sampah)**
2;4;16;Pembangunan/Rehabilitasi/Peningkatan Sistem Pembuangan Air Limbah; (Drainase, Air limbah Rumah Tangga)**
2;4;17;Pembangunan/Rehabilitasi/Peningkatan Taman/Taman Bermain Anak Milik Desa;**
2;4;90;Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;
2;4;91;Persediaan Kendaraan Pengangkut Sampah, Gerobak Sampah, Tong Sampah, Mesin Pengolah Sampah;
2;4;92;Pemeliharaan Jaringan Listrik/ Penerangan Desa;
2;4;93;Pembangunan/ Rehabilitasi/ Peningkatan Jaringan Listrik/ Penerangan Jalan;
2;5;;Sub Bidang Kehutanan dan Lingkungan Hidup;
2;6;01;Pengelolaan Hutan Milik Desa;
2;5;02;Pengelolaan Lingkungan Hidup Desa;
2;5;03;Pelatihan/Sosialisasi/Penyuluhan/Penyadaran tentang Lingkungan Hidup dan Kehutanan;
2;5;90;Pembangunan Terasering Pada Daerah Rawan Longsor;
2;6;;Sub Bidang Perhubungan, Komunikasi, dan Informatika;
2;6;01;Pembuatan Rambu-rambu di Jalan  Desa;
2;6;02;Penyelenggaraan Informasi Publik Desa; (Misal : Pembuatan Poster/Baliho Informasi penetapan/LPJ APB Des untuk Warga, Website Desa, Koran Desa)
2;6;03;Pengelolaan dan Pembuatan Jaringan/Instalasi Komunikasi dan Informasi Lokal Desa;
2;7;;Sub Bidang Energi dan Sumber Days Mineral;
2;7;01;Pemeliharaan Sarana dan Prasarana Energi Altematif tingkat Desa;
2;7;02;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Energi Altematif tingkat Desa; **
2;7;90;Pengembangan dan Pengelolaan Sarana dan Prasarana Energi Altematif tingkat Desa;
2;8;;Sub Bidang Pariwisata;
2;8;01;Pemeliharaan Sarana dan Prasarana Pariwisata Milik Desa;
2;8;02;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Pariwisata Milik Desa; **
2;8;03;Pengembangan Pariwisata Tingkat Desa;
3;;;BIDANG PEMBINAAN KEMASYARARATAN DESA;"Bidang pembinaan kemasyarakatan berisi sub bidang dan kegiatan untuk  meningkatkan peran serta dan kesadaran masyarakat/lembaga kemasyarakatan desa yang mendukung proses pembangunan desa yang mencakup:"""
3;1;;Sub Bidang ketentraman, Ketertiban Umum, dan Pelindungan Masyarakat;
3;1;01;Pengadaan/ Penyelenggaraan Pos Keamanan Desa; (pembangunan pos,pengawasan pelaksanaan jadwal ronda/patroli dll) **
3;1;02;Penguatan dan Peningkatan Kapasitas Tenaga keamanan/Ketertiban oleh Pemerintah Desa; (SATLINMAS Desa)
3;1;03;Koordinasi Pembinaan Ketentraman, Ketertiban, dan Pelindungan Masyarakat (dengan masyarakat/instansi pemerintah daerah) Skala Lokal Desa;
3;1;04;Pelatihan Kesiapsiagaan/Tanggap Bencana Skala Lokal Desa;
3;1;05;Penyediaan Pos Kesiapsiagaan Bencana Skala Lokal Desa;
3;1;06;Bantuan Hukum Untuk Aparatur Desa dan Masyarakat Miskin;
3;1;07;Pelatihan /Penyuluhan/Sosialisasi kepada Masyarakat di Bidang Hukum dan Pelindungan Masyarakat;
3;1;90;Dukungan Pembinaan Keamanan, Ketertiban, dan Ketentraman Wllayah dan Masyarakat Desa; (Seragam dan Op Linmas, BABINSA, BABINKAMT1BMAS)
3;2;;Sub Bidang Kebudayaan dan Keagamaan;
3;2;01;Pembinaan Group Kesenian dan Kebudayaan Tingkat Desa;
3;2;02;Pengiriman Kontingen Group Kesenian dan Kebudayaan sebagai Wakil Desa di tingkat Kecamatan dan Kabupaten/ Kota;
3;2;03;Penyelenggaraan Festival Kesenian, Adat/Kebudayaan, dan Keagamaan (perayaan hari kemerdekaan, hari besar keagamaan) tingkat Desa;
3;2;04;Pemeliharaan Sarana dan Prasarana Kebudayaan/Rumah Adat/Keagamaan Milik Desa; **
3;2;05;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Kebudayaan/Rumah Adat /Keagamaan Milik Desa; **
3;2;90;Melestarikan Dan Mengembangkan Gotong Royong Masyarakat Desa (BBGRM);
3;2;91;Dukungan Pengelolaan Sarana dan Prasarana Kebudayaan/Rumah Adat/Keagamaan di Desa; **
3;3;;Sub Bidang Kepemudaan dan Olah Raga;
3;3;01;Pengiriman Kontingen Kepemudaan dan Olah Raga sebagai Wakil Desa di tingkat Kecamatan dan Kabupaten/Kota;
3;3;02;Penyelenggaraan Pelatihan Kepemudaan (Kepemudaan, Penyadaraan Wawasan Kebangsaan) tingkat Desa;
3;3;03;Penyelenggaraan Festival/Lomba Kepemudaan dan Olah Raga tingkat Desa;
3;3;04;Pemeliharaan Sarana dan Prasarana Kepemudaan dan Olah Raga Milik Desa;**
3;3;05;Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Kepemudaan dan Olah Raga Milik Desa;**
3;3;06;Pembinaan Karang Taruna/Klub Kepemudaan/Klub Olah Raga;
3;4;;Sub Bidang Kelembagaan Masyarakat;
3;4;01;Pembinaan Lembaga Adat;
3;4;02;Pembinaan LKMD/LPM/LPMD;
3;4;03;Pembinaan PKK;
3;4;04;Pelatihan Pembinaan Lembaga Kemasyarakatan;
3;4;90;Pembentukan Lembaga Kemasyarakatan;
3;4;91;Pembentukan dan Dukungan Fasilitasi Kader Pembangunan dan Pemberdayaan Masyarakat;
4;;;BIDANG PEMBERDAYAAN MASYARAKAT DESA;Bidang Pemberdayaan Masyarakat mencakup sub-bidang dan kegiatan yang diarahkan untuk meningkatkan pemahaman, kapasitas masyarakat dalam meningkatkan kesejahteraan masyarakat, yang mencakup :
4;1;;Sub Bidang Kelautan dan Perikanan;
4;1;01;Pemeliharaan Karamba/Kolam Perikanan Darat Milik Desa;
4;1;02;Pemeliharaan Pelabuhan Perikanan Sungai/Kecil Milik Desa;
4;1;03;Pembangunan/ Rehabilitasi/ Peningkatan Karamba/Kolam Perikanan Darat Milik Desa; **
4;1;04;Pembangunan/ Rehabilitasi/ Peningkatan Pelabuhan Perikanan Sungai/Kecil Milik Desa;**
4;1;05;Bantuan Perikanan; (Bibit/Pakan/dst)
4;1;06;Pelatihan/Bimtek/Pengenalan Tekonologi Tepat Guna untuk Perikanan Darat/Nelayan; **
4;1;90;Pelaksanaan Penanggulangan Hama dan Penyakit Secara Terpadu;
4;1;91;Pengelolaan Balai Benih Ikan Milik Desa;
4;1;92;Pemeliharaan Tambatan Perahu/Tempat Pelelangan Ikan (TPI) Milik Desa;**
4;1;93;Pembangunan/Rehabilitasi/Peningkatan Tambatan Perahu/Tempat Pelelangan Ikan (TPI) Milik Desa;**
4;2;;Sub Bidang Pertanian dan Peternakan;
4;2;01;Peningkatan Produksi Tanaman Pangan; (Alat Produksi dan pengolahan pertanian, penggilingan Padi/jagung)
4;2;02;Peningkatan Produksi Peternakan; (Alat Produksi dan pengolahan peternakan, kandang)
4;2;03;Penguatan Ketahanan Pangan Tingkat Desa; (Lumbung Desa)
4;2;04;Pemeliharan Saluran Irigasi Tersier/Sederhana;
4;2;05;Pelatihan/Bimtek/Pengenalan Tekonologi Tepat Guna untuk Pertanian/Peternakan; **
4;2;90;Peningkatan Produksi Tanaman Perkebunan; (Alat Produksi dan pengolahan perkebunan)
4;2;91;Pembangunan/Rehabilitasi/Peningkatan Balai Pertemuan Kelompok Tani;
4;2;92;Pembangunan/Peningkatan Irigasi Tersier;
4;3;;Sub Bidang Peningkatan Kapasitas Aparatur Desa;
4;3;01;Peningkatan kapasitas kepala Desa;
4;3;02;Peningkatan kapasitas perangkat Desa;
4;3;03;Peningkatan kapasitas BPD;
4;4;;Sub Bidang Pemberdayaan Perempuan, Perlindungan Anak dan Keluarga;
4;4;01;Pelatihan/Penyuluhan Pemberdayaan Perempuan;
4;4;02;Pelatihan/Penyuluhan Perlindungan Anak;
4;4;03;Pelatihan dan Penguatan Penyandang Difabel (penyandang disabilitas);
4;4;90;Fasiilitasi Penguatan Kelembagaan Pengarusutamaan Gender dan Anak;
4;4;91;Fasilitasi Upaya Perlindungan Perempuan dan Anak Terhadap Tindakan Kekerasan;
4;4;92;Peningkatan Kapasitas Kelompok Pemerhati dan Perlindungan Anak;
4;5;;Sub Bidang Koperasi, Usaha Mikro Kecil dan Menengah (UMKM);
4;5;01;Pelatihan Manajemen Pengelolaan Koperasi/ KUD/ UMKM;
4;5;02;Pengembangan Sarana Prasarana Usaha Mikro, Kecil dan Menengah serta Koperasi;
4;5;03;Pengadaan Teknologi Tepat Guna untuk Pengembangan Ekonomi Pedesaan Non-Pertanian;
4;5;90;Pengembangan/ Promosi Produk Unggulan Desa;
4;6;;Sub Bidang Dukungan Penanaman Modal;
4;6;01;Pembentukan BUM Desa; (Persiapan dan Pembentukan Awal BUM Des)
4;6;02;Pelatihan Pengelolaan BUM Desa; (Pelatihan yang dilaksanakan oleh Desa)
4;6;90;Pembangunan Kantor BUM Desa/Sarana Prasarana BUM Desa; (menjadi aset desa)**
4;6;91;Pelaksanaan Audit Keuangan BUM Desa, Evaluasi Perkembangan BUM Desa;
4;7;;Sub Bidang Perdagangan dan Perindustrian;
4;7;01;Pemeliharaan Pasar Desa/Kios milik Desa;
4;7;02;Pembangunan/Rehabilitasi/Peningkatan Pasar Desa/Kios milik Desa; **
4;7;03;Pengembangan Industri kecil level Desa;
4;7;04;Pembentukan/Fasilitasi/Pelatihan/Pendampingan kelompok usaha ekonomi produktif; (pengrajin, pedagang, industri rumah tangga) **
5;;;BIDANG PENANGGULANGAN BENCANA, KEADAAN DARURAT DAN MENDESAK DESA;Bidang Penanggulangan Bencana, Keadaan Darurat dan Mendesak Desa digunakan untuk kegiatan
5;1;;Sub Bidang Penanggulangan Bencana;
5;1;00;Penanggulangan Bencana;
5;2;;Sub Bidang Keadaan Darurat;
5;2;00;Keadaan Darurat;
5;3;;Sub Bidang Keadaan Mendesak.;
5;3;00;Keadaan Mendesak;
